donor_name,tier,ask_amount,calculation,file
Ruth Andersen,Silver,"$1,150","largest_gift $7,000 x Silver rate 15% = $1,050.00 | rounded to nearest $50 = $1,050 | volunteer -> +$100 flat = $1,150.00 | final rounded ask = $1,150",draft_Ruth_Andersen.html
Janet Okonkwo,Silver,$550,"largest_gift $3,000 x Silver rate 15% = $450.00 | rounded to nearest $50 = $450 | volunteer -> +$100 flat = $550.00 | final rounded ask = $550",draft_Janet_Okonkwo.html
Shirley Magnusdottir,Silver,"$1,150","largest_gift $7,000 x Silver rate 15% = $1,050.00 | rounded to nearest $50 = $1,050 | volunteer -> +$100 flat = $1,150.00 | final rounded ask = $1,150",draft_Shirley_Magnusdottir.html
Owen Oduya,Silver,$300,"largest_gift $1,200 x Silver rate 15% = $180.00 | rounded to nearest $50 = $200 | volunteer -> +$100 flat = $300.00 | final rounded ask = $300",draft_Owen_Oduya.html
Susan Nakamura,Silver,$300,"largest_gift $1,500 x Silver rate 15% = $225.00 | rounded to nearest $50 = $200 | volunteer -> +$100 flat = $300.00 | final rounded ask = $300",draft_Susan_Nakamura.html
Joe Iwamoto,Silver,$300,"largest_gift $1,300 x Silver rate 15% = $195.00 | rounded to nearest $50 = $200 | volunteer -> +$100 flat = $300.00 | final rounded ask = $300",draft_Joe_Iwamoto.html
Michael Torres,Lapsed,$50,Lapsed flat ask = $50,draft_Michael_Torres.html
Charles Kimura,Lapsed,$50,Lapsed flat ask = $50,draft_Charles_Kimura.html
Paul Achebe,Lapsed,$50,Lapsed flat ask = $50,draft_Paul_Achebe.html
Frank Watanabe,Lapsed,$50,Lapsed flat ask = $50,draft_Frank_Watanabe.html
Lars Achebe-Nielsen,Lapsed,$50,Lapsed flat ask = $50,draft_Lars_Achebe-Nielsen.html
Thomas Bergmann,Lapsed,$50,Lapsed flat ask = $50,draft_Thomas_Bergmann.html
Frank Dimitriou,Lapsed,$50,Lapsed flat ask = $50,draft_Frank_Dimitriou.html
Raymond Volkov,Lapsed,$50,Lapsed flat ask = $50,draft_Raymond_Volkov.html
Henry Obi,Lapsed,$50,Lapsed flat ask = $50,draft_Henry_Obi.html
Felix Mensah-Bonsu,Lapsed,$50,Lapsed flat ask = $50,draft_Felix_Mensah-Bonsu.html
Patricia Huang,Bronze,$150,Bronze flat ask = $150,draft_Patricia_Huang.html
Brenda Kowalski,Bronze,$150,Bronze flat ask = $150,draft_Brenda_Kowalski.html
Carol Eriksson,Bronze,$150,Bronze flat ask = $150,draft_Carol_Eriksson.html
Kathy Lindberg,Bronze,$150,Bronze flat ask = $150,draft_Kathy_Lindberg.html
Iris Kowalczyk,Bronze,$150,Bronze flat ask = $150,draft_Iris_Kowalczyk.html
David Osei,Bronze,$150,Bronze flat ask = $150,draft_David_Osei.html
George Nwosu,Bronze,$150,Bronze flat ask = $150,draft_George_Nwosu.html
Samuel Lindqvist,Bronze,$150,Bronze flat ask = $150,draft_Samuel_Lindqvist.html
Jack Nkemdirim,Bronze,$150,Bronze flat ask = $150,draft_Jack_Nkemdirim.html
Igor Volkov,Bronze,$150,Bronze flat ask = $150,draft_Igor_Volkov.html
Arthur Mwangi,Bronze,$150,Bronze flat ask = $150,draft_Arthur_Mwangi.html
